Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
population,CAN,,0.0377912,0.0396524,0.0414138,0.0430335,0.0445721,0.0460997,0.0476193,0.0491076,0.0505014,0.0517385,0.0528001,0.0536777,0.0543612,0.0548249,0.0549846,0.0547999,0.0544633
population,USA,,0.342454,0.35558,0.368237,0.380044,0.390884,0.400817,0.410337,0.419895,0.429334,0.438313,0.446375,0.453123,0.45852,0.462602,0.46532,0.46677,0.467715
population,MEX,,0.124815,0.130375,0.135265,0.139384,0.142734,0.145326,0.147107,0.148066,0.148407,0.148364,0.148063,0.147569,0.146812,0.145729,0.144416,0.142995,0.141516
population,RCAM,,0.0933415,0.0970866,0.100338,0.103056,0.105235,0.106873,0.107943,0.108442,0.108503,0.108265,0.107775,0.107058,0.106123,0.104989,0.103701,0.102311,0.10086
population,BRA,,0.210843,0.217459,0.222925,0.227073,0.22995,0.231618,0.231978,0.230962,0.228773,0.225649,0.221686,0.216971,0.211683,0.206029,0.200218,0.194401,0.188504
population,RSAM,,0.21934,0.228868,0.23732,0.244558,0.250544,0.255257,0.25866,0.260756,0.26172,0.261741,0.260878,0.259175,0.256725,0.253642,0.250061,0.246127,0.241993
population,NAF,,0.193293,0.203702,0.213017,0.221224,0.228385,0.234522,0.239455,0.243015,0.245286,0.246404,0.246456,0.245556,0.243961,0.241914,0.239454,0.236608,0.233557
population,WAF,,0.530424,0.592067,0.655758,0.720603,0.785934,0.850828,0.913114,0.970862,1.02437,1.07424,1.1201,1.16137,1.19784,1.2293,1.25521,1.27579,1.29447
population,EAF,,0.329518,0.365987,0.402656,0.439,0.474635,0.509145,0.541852,0.572134,0.599867,0.625034,0.647538,0.667259,0.684048,0.697729,0.708046,0.715171,0.721074
population,SAF,,0.0551186,0.0571576,0.0589288,0.0604016,0.0616135,0.0626119,0.063415,0.064026,0.0644178,0.0645558,0.0644038,0.0639466,0.063253,0.0623933,0.061358,0.0601408,0.0588272
population,WEU,,0.426323,0.433244,0.439567,0.445431,0.450749,0.455378,0.459191,0.462076,0.463972,0.464888,0.465052,0.464685,0.463758,0.462117,0.45935,0.455219,0.450427
population,CEU,,0.125962,0.125281,0.124271,0.122881,0.121259,0.119564,0.117796,0.115891,0.113691,0.111071,0.108123,0.105002,0.101873,0.0988759,0.0960457,0.0933623,0.0906971
population,TUR,,0.0846097,0.088357,0.0916667,0.094503,0.0968679,0.0987614,0.100138,0.100968,0.101337,0.101336,0.100976,0.100261,0.0992502,0.0980168,0.096636,0.0951745,0.0936616
population,UKR,,0.055403,0.0540496,0.0528561,0.0518116,0.0508842,0.0500414,0.0492663,0.0485387,0.0478064,0.0470191,0.0461655,0.0452476,0.0442806,0.0432815,0.0422617,0.0412276,0.0401718
population,STAN,,0.0676045,0.0699377,0.0718189,0.0732722,0.0743557,0.0751082,0.0754569,0.0753469,0.0749068,0.0742797,0.0734814,0.0725052,0.0713823,0.0701595,0.0689093,0.0676885,0.0664658
population,RUS,,0.158455,0.157412,0.156218,0.155146,0.154249,0.153492,0.15274,0.151851,0.15079,0.149541,0.148084,0.146399,0.14449,0.142371,0.140072,0.137631,0.135095
population,ME,,0.263065,0.285131,0.306303,0.326671,0.345899,0.36355,0.379227,0.392616,0.403721,0.412612,0.419324,0.423927,0.426673,0.427829,0.427549,0.426069,0.424079
population,INDIA,,1.37661,1.44909,1.51596,1.57718,1.63228,1.68037,1.71946,1.74766,1.76458,1.77047,1.76653,1.75399,1.73335,1.70508,1.67051,1.63131,1.58968
population,KOR,,0.0746478,0.075075,0.0750756,0.0745735,0.073517,0.0718931,0.0698177,0.0674339,0.0648637,0.0622139,0.0595513,0.0569292,0.0543857,0.0519548,0.049669,0.0475299,0.0454194
population,CHN,,1.41954,1.426,1.42195,1.40662,1.38087,1.34602,1.30349,1.25492,1.20248,1.1483,1.09369,1.03956,0.985984,0.933318,0.883916,0.839378,0.796333
population,SEAS,,0.394819,0.411503,0.425866,0.437598,0.446609,0.452919,0.456769,0.458444,0.458171,0.456143,0.452485,0.447333,0.440946,0.433611,0.425624,0.41724,0.40858
